timestamp_us,x,y,z,qx,qy,qz,qw,vx,vy,wz,u_steering_angle,u_longitudinal_actuation,ref_traj_0_x,ref_traj_0_y,front_steering_angle,acceleration,x_ref_0,y_ref_0,yaw_ref_0
100000,0.07500801980495453,0.5999936461448669,0.0,0.0,0.0,-0.0001576652139192447,1.0,0.7502248174841475,-0.012825098096396061,-0.008066099431695636,-0.11566527765984198,0.006100203054728386,0.0,-0.6000000238418579,-0.07303788232003759,0.003852028213254145,0.0,-0.6000000238418579,0.0
200000,0.14261981844902039,0.5999305844306946,0.0,0.0,0.0,-0.0009022931917570531,0.9999996423721313,0.677980380280801,-0.0313171360530033,-0.0226690002113434,-0.21212970860614316,0.07426931273097559,0.00018117645231541246,-0.5999936461448669,-0.1608686699643645,0.04831765734551011,0.00018117645231541246,-0.5999936461448669,0.00031533045694231987
300000,0.21075312793254852,0.5997101068496704,0.0,0.0,0.0,-0.0024907910265028477,0.9999969601631165,0.6854491860148167,-0.06366244178151403,-0.04113482900796971,-0.29434224819159727,0.11987116449901485,0.008462795056402683,-0.5999162793159485,-0.24515176422247478,0.09350076450436762,0.008462796919047832,-0.599916398525238,0.0018045870820060372
400000,0.2798338830471039,0.5992015600204468,0.0,0.0,0.0,-0.005029636435210705,0.9999874234199524,0.6967694890868227,-0.09526284334196772,-0.060317495771481364,-0.3628282033002465,0.14696094132728232,0.017234187573194504,-0.599631667137146,-0.3194596125508191,0.12725867511158953,0.017234191298484802,-0.5996317863464355,0.004981588572263718
500000,0.3501828908920288,0.5982593297958374,0.0,0.0,0.0,-0.008509155362844467,0.9999638795852661,0.7106781249378832,-0.12472044220372215,-0.07858933099269837,-0.41813161300878937,0.1593519398657329,0.026192527264356613,-0.5989683866500854,-0.3817669367845123,0.14752425646671696,0.026192540302872658,-0.5989686846733093,0.010059322230517864
600000,0.42198893427848816,0.5967336893081665,0.0,0.0,0.0,-0.01286084484308958,0.9999173879623413,0.7259081022755902,-0.15116182178364876,-0.09512516754524072,-0.4608456432554582,0.16048215560651327,0.03499438613653183,-0.5977503657341003,-0.4317018988932924,0.15570663869615892,0.03499439358711243,-0.5977504849433899,0.017018521204590797
700000,0.495320200920105,0.5944786071777344,0.0,0.0,0.0,-0.017985137179493904,0.9998383522033691,0.7413919216159487,-0.17401044497051,-0.10946074198689425,-0.4916356234530287,0.15335019713792936,0.04334910586476326,-0.595815896987915,-0.4695475895790407,0.15421864243050198,0.043349117040634155,-0.5958160161972046,0.025722408667206764
800000,0.5701470375061035,0.5913587808609009,0.0,0.0,0.0,-0.023763813078403473,0.9997177124023438,0.7563079525543338,-0.19285391976174832,-0.1212992218543431,-0.5112485824652292,0.14049334930215712,0.051039546728134155,-0.5930266976356506,-0.49588005747841635,0.14555168234880653,0.05103955790400505,-0.5930268168449402,0.0359722301363945
900000,0.6463664174079895,0.5872558951377869,0.0,0.0,0.0,-0.030066434293985367,0.9995478987693787,0.7700686932745635,-0.2074068991436585,-0.13044733570416633,-0.520510986604234,0.12399566694363286,0.057914551347494125,-0.589272677898407,-0.5114334797268397,0.1319399420901428,0.05791454389691353,-0.5892726182937622,0.0475321002304554
1000000,0.7238245606422424,0.5820741653442383,0.0,0.0,0.0,-0.03675514832139015,0.999324381351471,0.7822889008239556,-0.21751444679767185,-0.13680255052907153,-0.520317648754787,0.10551719130539097,0.06387393176555634,-0.5844736695289612,-0.5170434683517995,0.1152550579016149,0.06387394666671753,-0.5844737887382507,0.06014195457100868
