uuid,scene_id,nre_version_string,path,last_modified,artifact_repository
87259074-6f2c-4dbd-9545-080b5a137b57,clipgt-ca90cae3-d2dd-4977-80ad-468ad2db8968,0.2.220-1777390b,alpasim/artifacts/NRE/interactive0/sweepid-3eqzezhm_datetime-2025-01-17_12-17-10/dataset-clipgt-ca90cae3-d2dd-4977-80ad-468ad2db8968_runid-mjqehm0q/last.usdz,2025-01-18 17:57:32, swiftstack
497fe4e9-93cf-4f23-9951-b85812b580fc,clipgt-717d51e3-ef31-47f9-8eab-16340d06f391,0.2.220-1777390b,alpasim/artifacts/NRE/interactive0/sweepid-3eqzezhm_datetime-2025-01-17_12-17-10/dataset-clipgt-717d51e3-ef31-47f9-8eab-16340d06f391_runid-psr49a7n/last.usdz,2025-01-18 15:08:50, swiftstack
